call_id,rep_id,rep_name,rep_region,npi,call_date,call_type,detailing_topic,outcome
CALL3000000,REP004,Diana Prince,Midwest,1800000015,2025-07-23,Email Follow-up,Safety & Tolerability,Neutral
CALL3000001,REP005,Ethan Hunt,Northeast,1800000141,2025-11-06,Phone Call,Clinical Trials Data,Unfavorable
CALL3000002,REP001,Alice Carter,East,1800000017,2025-01-22,Virtual Video,Efficacy Profile,Unfavorable
CALL3000003,REP005,Ethan Hunt,Northeast,1800000113,2025-07-03,Email Follow-up,Safety & Tolerability,Unfavorable
CALL3000004,REP001,Alice Carter,East,1800000239,2025-05-13,In-Person,Co-pay Assistance Program,Neutral
CALL3000005,REP001,Alice Carter,East,1800000239,2025-07-19,In-Person,Clinical Trials Data,Busy - Left Materials
CALL3000006,REP001,Alice Carter,East,1800000052,2025-01-02,Email Follow-up,Safety & Tolerability,Neutral
CALL3000007,REP003,Charlie Vance,South,1800000135,2025-06-28,Virtual Video,Market Access & Formulary Update,Busy - Left Materials
CALL3000008,REP001,Alice Carter,East,1800000162,2025-01-07,Phone Call,Market Access & Formulary Update,High Interest
CALL3000009,REP005,Ethan Hunt,Northeast,1800000144,2025-01-04,Phone Call,Clinical Trials Data,Neutral
CALL3000010,REP005,Ethan Hunt,Northeast,1800000134,2025-12-30,Email Follow-up,Co-pay Assistance Program,Unfavorable
CALL3000011,REP003,Charlie Vance,South,1800000201,2025-01-28,Virtual Video,Co-pay Assistance Program,Unfavorable
CALL3000012,REP002,Bob Mendez,West,1800000129,2025-08-24,In-Person,Safety & Tolerability,Unfavorable
CALL3000013,REP005,Ethan Hunt,Northeast,1800000154,2025-03-14,Email Follow-up,Market Access & Formulary Update,Favorable
CALL3000014,REP003,Charlie Vance,South,1800000172,2025-05-25,Phone Call,Co-pay Assistance Program,Neutral
CALL3000015,REP005,Ethan Hunt,Northeast,1800000232,2025-11-13,In-Person,Co-pay Assistance Program,Busy - Left Materials
CALL3000016,REP002,Bob Mendez,West,1800000167,2025-02-01,In-Person,Market Access & Formulary Update,Unfavorable
CALL3000017,REP003,Charlie Vance,South,1800000034,2025-07-22,In-Person,Co-pay Assistance Program,Neutral
CALL3000018,REP004,Diana Prince,Midwest,1800000164,2025-09-23,Virtual Video,Co-pay Assistance Program,Neutral
CALL3000019,REP004,Diana Prince,Midwest,1800000109,2025-04-27,Email Follow-up,Safety & Tolerability,High Interest
CALL3000020,REP003,Charlie Vance,South,1800000029,2025-03-12,In-Person,Clinical Trials Data,Favorable
CALL3000021,REP004,Diana Prince,Midwest,1800000159,2025-10-27,Email Follow-up,Safety & Tolerability,High Interest
CALL3000022,REP004,Diana Prince,Midwest,1800000063,2025-04-11,Virtual Video,Market Access & Formulary Update,Neutral
CALL3000023,REP004,Diana Prince,Midwest,1800000142,2025-11-19,Virtual Video,Clinical Trials Data,Unfavorable
CALL3000024,REP003,Charlie Vance,South,1800000115,2025-01-21,In-Person,Efficacy Profile,Neutral
CALL3000025,REP001,Alice Carter,East,1800000216,2025-12-28,Virtual Video,Co-pay Assistance Program,Favorable
CALL3000026,REP001,Alice Carter,East,1800000218,2025-08-08,Virtual Video,Market Access & Formulary Update,Favorable
CALL3000027,REP002,Bob Mendez,West,1800000187,2025-06-14,Email Follow-up,Safety & Tolerability,High Interest
CALL3000028,REP002,Bob Mendez,West,1800000068,2025-04-10,Virtual Video,Co-pay Assistance Program,Busy - Left Materials
CALL3000029,REP001,Alice Carter,East,1800000199,2025-03-30,In-Person,Co-pay Assistance Program,Busy - Left Materials
CALL3000030,REP003,Charlie Vance,South,1800000158,2025-03-07,In-Person,Safety & Tolerability,Unfavorable
CALL3000031,REP004,Diana Prince,Midwest,1800000001,2025-07-14,Virtual Video,Market Access & Formulary Update,Unfavorable
CALL3000032,REP004,Diana Prince,Midwest,1800000197,2025-03-10,Email Follow-up,Efficacy Profile,Favorable
CALL3000033,REP003,Charlie Vance,South,1800000095,2025-07-25,Phone Call,Co-pay Assistance Program,Favorable
CALL3000034,REP001,Alice Carter,East,1800000173,2025-01-26,Email Follow-up,Clinical Trials Data,Unfavorable
CALL3000035,REP001,Alice Carter,East,1800000123,2025-01-16,In-Person,Market Access & Formulary Update,Busy - Left Materials
CALL3000036,REP001,Alice Carter,East,1800000141,2025-10-21,Email Follow-up,Clinical Trials Data,Neutral
CALL3000037,REP003,Charlie Vance,South,1800000059,2025-11-26,Phone Call,Market Access & Formulary Update,Favorable
CALL3000038,REP003,Charlie Vance,South,1800000094,2025-12-02,Email Follow-up,Efficacy Profile,Busy - Left Materials
